name	source	registered	cited_native_va	tunnels	ret	sig
NPC_CreatMons	NpcFuc.pas	no	-		integer	(x,y,num,round,Ac,Mac,Dc,DcMax,Mc,Sc,Speed,Hit,hp,Maxhp,AttackSpd,WalkSpd:integer;MonName,Map:string)
Ys_AddHp	AllFuc.pas	yes	no	数字11@0x10071920	Integer	(Player:TPlayer;MaxHP:integer)
Ys_AddMp	AllFuc.pas	yes	no	数字11@0x10071920	Integer	(Player:TPlayer;MaxHP:integer)
ys_AddShuxing	AllFuc.pas	yes	no	数字14@0x10071F10	integer	(Player:TPlayer;round,TargetX,TargetY,value,time,pid,roleid,effect,IsOther:integer)
ys_AddShuxing_pro	AllFuc.pas	yes	no	数字14@0x10071F10	integer	(Player:TPlayer;round,TargetX,TargetY,value,time,pid,roleid,effect,IsOther,types:integer)
Ys_Attact	AllFuc.pas	no	-	中文定义伤害[内联 0x1005EDDC.. -> [0x1031B9BC]]		(RoleId,hp:integer)
ys_BBflowme	AllFuc.pas	yes	no	数字35@0x1006F0E0	integer	(Player:TPlayer;roleid:integer)
ys_CDGetTimes	AllFuc.pas	yes	no		integer	(y:integer)
ys_CDGetTimes_min	AllFuc.pas	no	-	中文hq取sj戳[内联 0x1005E65C -> [Self+0xE0]]	integer	()
ys_Change_ly	AllFuc.pas	yes	no	caret10@0x1005A1D0	integer	(Player:TPlayer;ClientItemID:integer;pname,desc1,desc2:string)
ys_CheckMapMonByName	AllFuc.pas	yes	yes	数字20@0x10073210	integer	(Player:TPlayer;MapName,MonName:string)
ys_CheckWupinIsBind	AllFuc.pas	yes	no	数字21@0x10073440	boolean	(Player:TPlayer;MakeIndex:string)
ys_ChgBigBag	AllFuc.pas	yes	yes	caret02@0x10059060	integer	(Player:TPlayer;name,NewName:string)
ys_CmpTime	AllFuc.pas	no	-		Boolean	(v_x,v_y,chazhi:integer)
ys_CmpTime_min	AllFuc.pas	no	-	中文hq取sj戳[内联 0x1005E65C -> [Self+0xE0]]	Boolean	(v_x,v_y,chazhi:integer)
ys_Cutting	AllFuc.pas	yes	yes	数字34@0x1006E8D0	integer	(Player:TPlayer;round,TargetX,TargetY,Canl,types,cuttingV,lei,effect,AttactId,delay:integer)
ys_DecExp	AllFuc.pas	yes	yes	数字39@0x1006F790	integer	(Player:TPlayer;value,downlevel,tips:integer)
ys_DingShen	AllFuc.pas	yes	yes	数字09@0x10070FD0	integer	(Player:TPlayer;shijian:integer)
ys_DoEffect	AllFuc.pas	yes	yes	数字12@0x1006FDE0	integer	(Player:TPlayer;round,TargetX,TargetY,all,effect:integer)
ys_DropItem	AllFuc.pas	yes	yes	数字07@0x10070D20	integer	(Player:TPlayer;num,range:integer;name:string)
Ys_DropItembyId	AllFuc.pas	yes	yes	caret33@0x1005CDD0	integer	(Player:TPlayer;id:integer)
Ys_DropItembyName	AllFuc.pas	yes	yes	caret34@0x1005CFF0	integer	(Player:TPlayer;name:string)
ys_GetA	AllFuc.pas	yes	no	数字40@0x1006F8E0	integer	(Player:TPlayer;name:string;id:integer)
