site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100a981e	memcpy	SAME	土城摆摊	土城摆摊	0x6e7930	0x6e7930	0x6e7938
0x100a9858	memcpy	SAME	土城摆摊	土城摆摊	0x6e7c1c	0x6e7c1c	0x6e7c26
0x100a9895	memcpy	SAME	土城摆摊	土城摆摊	0x6e7c5f	0x6e7c5f	0x6e7c61
0x100a994b	memcpy	SAME	土城摆摊	土城摆摊	0x6e7930	0x6e7930	0x6e7938
0x100a9985	memcpy	SAME	土城摆摊	土城摆摊	0x6e7c1c	0x6e7c1c	0x6e7c26
0x100a99c2	memcpy	SAME	土城摆摊	土城摆摊	0x6e7c5f	0x6e7c5f	0x6e7c61
0x100a9a3a	memcpy	SAME	摆摊穿人	摆摊穿人	0x77931d	0x77931d	0x779320
0x100a9ac7	memcpy	SAME	摆摊穿人	摆摊穿人	0x77931d	0x77931d	0x779320
0x100a9bc2	memcpy	SAME	随身仓库	随身仓库	0x6e087c	0x6e087c	0x6e08a9
0x100a9bf9	memcpy	SAME	随身仓库	随身仓库	0x6c2ab9	0x6c2ab9	0x6c2abf
0x100a9c33	memcpy	SAME	随身仓库	随身仓库	0x6c2dc9	0x6c2dc9	0x6c2dcf
0x100a9d2c	memcpy	SAME	随身仓库	随身仓库	0x6e087c	0x6e087c	0x6e08a9
0x100a9d63	memcpy	SAME	随身仓库	随身仓库	0x6c2ab9	0x6c2ab9	0x6c2abf
0x100a9d9d	memcpy	SAME	随身仓库	随身仓库	0x6c2dc9	0x6c2dc9	0x6c2dcf
0x100a9e9b	memcpy	SAME	召唤神兽	召唤神兽	0x76ee99	0x76ee99	0x76ee9a
0x100a9ed5	memcpy	SAME	召唤神兽	召唤神兽	0x76eeec	0x76eeec	0x76eef0
0x100a9f6b	memcpy	SAME	召唤神兽	召唤神兽	0x76ee99	0x76ee99	0x76ee9a
0x100a9fa5	memcpy	SAME	召唤神兽	召唤神兽	0x76eeec	0x76eeec	0x76eef0
0x100aa04b	memcpy	SAME	召唤骷髅	召唤骷髅	0x76ee1f	0x76ee1f	0x76ee20
0x100aa0ea	memcpy	SAME	召唤骷髅	召唤骷髅	0x76ee1f	0x76ee1f	0x76ee20
0x100aa19a	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c6b6	0x65c6b6	0x65c6bc
0x100aa1d4	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c76d	0x65c76d	0x65c76f
0x100aa211	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c785	0x65c785	0x65c787
0x100aa26b	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c6b6	0x65c6b6	0x65c6bc
0x100aa2a5	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c76d	0x65c76d	0x65c76f
0x100aa2e2	memcpy	SAME	攻沙脚本控制	攻沙脚本控制	0x65c785	0x65c785	0x65c787
0x100aa479	tramp2	NEW	安全区禁止丢物		0x73cc98	-	0x73cc9e
0x100aa52d	memcpy	SAME	安全区禁止丢物	安全区禁止丢物	0x73cc98	0x73cc98	0x73cc9e
0x100aa60e	tramp2	NEW	邮件防刷		0x6e7810	-	0x6e7815
0x100aa6c0	memcpy	SAME	邮件防刷	邮件防刷	0x6e7810	0x6e7810	0x6e7815
0x100aa765	tramp2	NEW	防0拆分		0x6e0ff3	-	0x6e0ff9
0x100aa819	memcpy	SAME	防0拆分	防0拆分	0x6e0ff3	0x6e0ff3	0x6e0ff9
0x100aa8b2	memcpy	SAME	穿人穿怪	穿人穿怪	0x6b30a3	0x6b30a3	0x6b30ad
0x100aa8ec	memcpy	SAME	穿人穿怪	穿人穿怪	0x768454	0x768454	0x768457
0x100aa99e	memcpy	SAME	穿人穿怪	穿人穿怪	0x6b30a3	0x6b30a3	0x6b30ad
0x100aa9d8	memcpy	SAME	穿人穿怪	穿人穿怪	0x768454	0x768454	0x768457
0x100aaa69	tramp2	NEW	禁止交易地图		0x6c3f00	-	0x6c3f05
